Team,Tier 1 Avg Points,Tier 2 Avg Points,Tier 3 Avg Points,Tier 4 Avg Points,Weighted Playoff Offense Score,Early Season Avg Points,Late Season Avg Points,Offensive Momentum
New England Patriots,--,30.6,27.5,28.7,--,26.6,30.8,4.2
Buffalo Bills,22.8,31.3,28.2,34.7,27.6,29.4,27.3,-2.0
Miami Dolphins,18.5,21.5,16.6,24.5,19.6,21.8,19.2,-2.5
New York Jets,13.8,11.4,19.0,30.5,15.8,20.4,13.1,-7.3
Baltimore Ravens,20.3,29.6,26.8,20.3,24.4,25.3,24.7,-0.6
Cincinnati Bengals,16.0,21.8,26.9,37.5,22.0,21.8,26.7,4.9
Cleveland Browns,15.0,13.7,14.1,21.8,15.1,15.8,17.0,1.3
Pittsburgh Steelers,20.7,14.2,27.5,33.0,21.3,25.3,21.7,-3.6
Houston Texans,20.0,19.5,30.3,26.3,22.5,21.0,26.2,5.2
Indianapolis Colts,21.0,28.3,28.0,37.5,26.3,33.8,21.8,-12.0
Jacksonville Jaguars,24.6,23.5,29.5,33.0,26.1,22.0,33.1,11.1
Tennessee Titans,12.3,24.0,17.0,16.0,17.1,13.8,19.3,5.6
Denver Broncos,20.2,24.3,28.0,24.9,23.5,25.9,21.6,-4.3
Kansas City Chiefs,17.4,18.3,30.0,21.7,20.6,26.8,16.4,-10.3
Los Angeles Chargers,18.8,--,26.0,23.3,--,23.5,20.0,-3.5
Las Vegas Raiders,13.5,11.0,15.0,17.5,13.5,16.5,12.1,-4.4
Dallas Cowboys,25.0,28.0,22.0,31.1,25.9,30.8,25.0,-5.8
Philadelphia Eagles,21.7,18.8,20.7,25.3,21.0,26.0,19.0,-7.0
Washington Commanders,14.8,22.5,21.5,27.2,19.7,23.4,20.2,-3.2
New York Giants,20.5,19.8,23.5,26.4,21.5,21.6,23.1,1.5
Chicago Bears,22.3,27.6,21.0,30.4,24.5,26.9,25.1,-1.8
Green Bay Packers,15.5,15.5,26.8,29.6,19.2,25.8,20.9,-4.9
Detroit Lions,15.0,26.3,31.4,39.8,24.1,29.9,26.9,-3.0
Minnesota Vikings,11.0,13.3,20.0,32.3,15.6,22.8,18.0,-4.8
Atlanta Falcons,18.0,18.7,21.0,28.0,19.8,17.9,23.3,5.5
Carolina Panthers,11.0,14.8,24.8,21.7,16.0,19.3,17.4,-1.8
New Orleans Saints,16.0,17.4,14.2,25.5,17.0,16.0,19.8,3.8
Tampa Bay Buccaneers,26.5,21.1,19.3,24.5,23.2,24.6,20.3,-4.3
Arizona Cardinals,21.5,20.6,21.0,20.7,21.0,22.5,19.4,-3.1
Los Angeles Rams,26.6,31.8,28.6,38.3,29.7,26.1,34.3,8.2
Seattle Seahawks,24.3,25.7,30.3,33.8,26.9,28.9,28.0,-0.9
San Francisco 49ers,17.7,24.8,19.5,30.3,21.4,20.0,29.4,9.4
