Team,Average Points Scored Per Game,Average Points Allowed Per Game,Defensive Tier Rank
Buffalo Bills,28.3,21.5,2
Miami Dolphins,20.4,24.9,3
New England Patriots,28.8,18.8,1
New York Jets,17.6,29.6,4
Baltimore Ravens,24.9,23.4,3
Cincinnati Bengals,24.4,28.9,4
Cleveland Browns,16.4,22.3,2
Pittsburgh Steelers,23.4,22.8,3
Houston Texans,23.8,17.4,1
Indianapolis Colts,27.4,24.2,3
Jacksonville Jaguars,27.9,19.8,1
Tennessee Titans,16.7,28.1,4
Denver Broncos,23.6,18.3,1
Kansas City Chiefs,21.3,19.3,1
Los Angeles Chargers,21.6,20,2
Las Vegas Raiders,14.2,25.4,4
Dallas Cowboys,27.7,30.1,4
Philadelphia Eagles,22.3,19.1,1
Washington Commanders,20.9,26.5,4
New York Giants,22.4,25.8,4
Chicago Bears,25.9,24.4,3
Green Bay Packers,23,21.2,2
Detroit Lions,28.3,24.3,3
Minnesota Vikings,20.2,19.6,1
Atlanta Falcons,20.8,23.6,3
Carolina Panthers,18.3,22.4,2
New Orleans Saints,18,22.5,2
Tampa Bay Buccaneers,22.4,24.2,3
Arizona Cardinals,20.9,28.7,4
Los Angeles Rams,30.5,20.4,2
Seattle Seahawks,28.4,17.2,1
San Francisco 49ers,25.7,21.8,2
